Date,MSCI Emerging Markets Small Cap
05/2010,22778.56578883012
06/2010,23106.525896061732
07/2010,24767.87057675422
08/2010,24830.49998718997
09/2010,27838.085855162797
10/2010,29012.74248808085
11/2010,28375.804411774985
12/2010,30043.11158003592
01/2011,29072.996219876048
02/2011,27941.125093455008
03/2011,29225.598636080973
04/2011,30541.58485714486
05/2011,29579.295261918574
06/2011,28934.717748415635
07/2011,29487.179487179492
08/2011,26202.407820175104
09/2011,22021.423031505696
10/2011,24166.451225221324
11/2011,22167.853341438593
12/2011,21876.50663443197
01/2012,24231.223404626984
02/2012,26370.661766247198
03/2012,25513.810378920753
04/2012,25032.15318003219
05/2012,22786.950536973247
06/2012,23466.371337204295
07/2012,23422.32811848581
08/2012,23956.017337795885
09/2012,25439.18612044691
10/2012,25069.605055071494
11/2012,25509.22205840909
12/2012,26737.051969134813
01/2013,27464.102797012238
02/2013,27774.408351209153
03/2013,27860.095819038506
04/2013,28425.786827094853
05/2013,28252.082794729722
06/2013,25780.165878267435
07/2013,25924.77949276932
08/2013,25058.611718617172
09/2013,26679.872644992098
10/2013,27648.10143681976
11/2013,27163.742485751754
12/2013,27015.984590696193
01/2014,26286.907448684182
02/2014,27386.89324119427
03/2014,27971.38005967146
04/2014,28079.776220388452
05/2014,28917.435850853966
06/2014,29440.73729885339
07/2014,29647.44463154855
08/2014,30355.280411597974
09/2014,29037.966605411428
10/2014,28526.70658738422
11/2014,28088.67336980699
12/2014,27289.001306623257
01/2015,27681.45410165576
02/2015,28307.35225957317
03/2015,28268.3165987735
04/2015,30829.92702940019
05/2015,30956.699763130866
06/2015,29540.46921982248
07/2015,27245.77327175202
08/2015,24616.22309019893
09/2015,24615.31474248343
10/2015,26070.720692393872
11/2015,25400.150459647237
12/2015,25420.623219696703
01/2016,23418.718018590855
02/2016,23335.126737797284
03/2016,25667.88012605072
04/2016,26050.620587817433
05/2016,25132.25775647431
06/2016,25770.174053396873
07/2016,26873.164380658254
08/2016,27368.633123015905
09/2016,27728.408691257275
10/2016,27317.369704507506
11/2016,26042.794822883843
12/2016,26000.2888079916
01/2017,27216.985636460617
02/2017,28633.239470736073
03/2017,29386.119981087737
04/2017,29717.806643049626
05/2017,29923.698791897543
06/2017,30157.77301089319
07/2017,31234.793909877935
08/2017,31844.295226982133
09/2017,31857.734114978193
10/2017,32976.28280823849
11/2017,33556.99649005127
12/2017,34798.777690048475
01/2018,36815.40278233893
02/2018,35305.542551432285
03/2018,34856.95852577495
04/2018,34817.15426306216
05/2018,34093.527207343184
06/2018,31858.153352385358
07/2018,32246.530228181608
08/2018,31566.410698938635
09/2018,30518.270599113548
10/2018,27299.691860505744
11/2018,28791.71121064118
12/2018,28330.037661493745
01/2019,29853.173743627012
02/2019,30241.31770975263
03/2019,30527.074584663835
04/2019,30591.80018213537
05/2019,29086.924218180466
06/2019,30228.530968834362
07/2019,29778.246702581342
08/2019,28287.345318864987
09/2019,28842.765010446
10/2019,29944.91686289307
11/2019,29768.604242216745
12/2019,31588.16446217664
01/2020,30326.353030504182
02/2020,28187.892889500665
03/2020,21680.047327245076
04/2020,24701.165247082226
05/2020,25285.16295525107
06/2020,27563.368898640045
07/2020,30108.978434893605
08/2020,31343.98196347511
09/2020,30829.48450102597
10/2020,30659.902969831215
11/2020,34980.44723314957
12/2020,37680.33613523668
01/2021,37710.754138222575
02/2021,39957.633730910144
03/2021,40568.951743445345
04/2021,43017.950348316415
05/2021,44103.37928641136
06/2021,45133.72508739936
07/2021,44540.317828536565
08/2021,45056.49224061433
09/2021,44160.30240991637
10/2021,44238.839550856996
11/2021,42940.111936387715
12/2021,44745.907194812644
01/2022,42766.501067890844
02/2022,41699.099338303626
03/2022,42806.51494930722
04/2022,40659.34398662167
05/2022,39993.431947287885
06/2022,35781.37700855478
07/2022,36769.542868189434
08/2022,37680.31284426961
09/2022,33902.12204000922
10/2022,33877.52677878939
11/2022,37063.800946079085
12/2022,36682.17845073146
01/2023,38856.2504803762
02/2023,37747.57715715115
03/2023,38100.412017207374
04/2023,38354.21368530643
05/2023,38779.55332583364
