Date,MSCI USA Small Cap Value Weighted
12/2017,149848.21000000002
01/2018,152716.45
02/2018,144626.03000000003
03/2018,145812.26
04/2018,147461.96000000002
05/2018,154836.33000000002
06/2018,156520.68000000002
07/2018,159866.57
08/2018,164050.30000000002
09/2018,160675.92
10/2018,145721.65000000002
11/2018,147539.21000000002
12/2018,128379.62000000001
01/2019,144708.52000000005
02/2019,150613.36000000002
03/2019,146575.51
04/2019,152277.92
05/2019,136978.53
06/2019,147145.79
07/2019,147790.96000000002
08/2019,138498.22000000003
09/2019,145425.94
10/2019,148228.31000000003
11/2019,152859.71000000002
12/2019,159489.68000000005
01/2020,149864.61000000002
02/2020,134108.49000000002
03/2020,96489.36000000003
04/2020,112738.58000000002
05/2020,118916.65000000002
06/2020,123461.80000000002
07/2020,126445.74000000002
08/2020,134297.72
09/2020,127392.54000000002
10/2020,133013.18000000002
11/2020,160972.55000000002
12/2020,173763.87000000002
01/2021,184878.76
02/2021,202055.92
03/2021,215382.73
04/2021,222423.57000000004
05/2021,230515.34000000003
06/2021,227599.81000000003
07/2021,222389.19999999998
08/2021,227276.34999999998
09/2021,222982.18000000002
10/2021,232171.13999999998
11/2021,224757.73000000004
12/2021,235768.35000000003
01/2022,226089.51000000004
02/2022,230293.94000000003
03/2022,232366.77000000002
04/2022,216887.63000000003
05/2022,222235.18000000002
06/2022,198933.07000000004
07/2022,219041.66000000003
08/2022,212988.13999999998
09/2022,191120.24000000002
10/2022,214939.87000000002
11/2022,225583.64
12/2022,211721.49000000002
01/2023,236399.68000000002
02/2023,231721.59000000003
03/2023,215670.46
04/2023,212792.47000000003
05/2023,205746.48
06/2023,226736.66000000003
07/2023,243334.66000000003
08/2023,234204.75000000003
09/2023,221803.19000000003
10/2023,208591.84000000003
11/2023,227762.87000000002
12/2023,256580.80000000005
01/2024,245889.24000000002
02/2024,253790.30000000002
03/2024,265945.37000000005
04/2024,248423.71000000002
05/2024,261205.81
06/2024,254153.70000000004
07/2024,280680.45
08/2024,278452.57
09/2024,282934.61000000004
10/2024,278679.43000000005
11/2024,306086.98000000004
12/2024,281477.79000000004
01/2025,291503.72000000003
02/2025,279359.89
03/2025,263491.98000000004
04/2025,252014.19000000006
05/2025,266219.73000000004
06/2025,279328.41000000003
07/2025,284989.72000000003
08/2025,305667.74000000005
09/2025,309215.15
10/2025,308312.7
11/2025,318756.86000000004
12/2025,320064.41000000003
01/2026,338499.07000000007
02/2026,347969.79000000004
03/2026,334773.52
