Date,MSCI Emerging Markets Minimum Volatility
05/1993,10000
06/1993,10213.904837933824
07/1993,10463.835753835447
08/1993,10947.270922247128
09/1993,11133.030386768605
10/1993,11985.630507537844
11/1993,12614.14228253861
12/1993,14749.557350036332
01/1994,15015.761409110912
02/1994,14809.072021451893
03/1994,13415.159609853952
04/1994,13485.57421679102
05/1994,13932.06218592322
06/1994,13485.420696572406
07/1994,13935.337283920291
08/1994,15175.268916249604
09/1994,15482.309353475188
10/1994,15822.766024952154
11/1994,15301.053148699684
12/1994,14306.753866150839
01/1995,13098.805612699194
02/1995,12989.29452342207
03/1995,13011.094394465083
04/1995,13488.59344775707
05/1995,14398.047222819247
06/1995,14450.55113758482
07/1995,14629.96509973697
08/1995,14240.688998741136
09/1995,14229.430849376196
10/1995,14008.361734573778
11/1995,13585.771746138968
12/1995,14226.974525878393
01/1996,14792.23597081069
02/1996,14716.294636003562
03/1996,14824.475216719375
04/1996,15374.947547258642
05/1996,15355.296959276204
06/1996,15285.854647057018
07/1996,14466.36372010194
08/1996,14747.049853132325
09/1996,14897.397320560452
10/1996,14579.149907376135
11/1996,14599.158709202004
12/1996,14802.112438208113
01/1997,15595.237475308833
02/1997,16099.881886661142
03/1997,15884.515715353047
04/1997,16137.562989345697
05/1997,16478.229978404823
06/1997,17096.02348859345
07/1997,17457.62204345646
08/1997,16504.25658345871
09/1997,16808.495179465135
10/1997,14810.861043732795
11/1997,14096.599245703994
12/1997,14043.380279816187
01/1998,13051.205978077314
02/1998,13856.163345512605
03/1998,14722.813641806626
04/1998,14848.70644887265
05/1998,13540.10556050232
06/1998,12166.888933239174
07/1998,12458.81162557442
08/1998,9652.887065409848
09/1998,10049.945689663997
10/1998,10794.592132600534
11/1998,11643.375300643764
12/1998,12036.95132385602
01/1999,11443.675094926668
02/1999,11369.438673790006
03/1999,12707.576729405262
04/1999,14044.68541148536
05/1999,14142.680278792719
06/1999,15061.047601502452
07/1999,14896.093079308546
08/1999,15206.310581636935
09/1999,14828.088632339548
10/1999,14695.467320662801
11/1999,15606.6900529133
12/1999,16541.775947475617
01/2000,16817.862804097967
02/2000,16977.68209544864
03/2000,16495.04907017921
04/2000,15056.081207078309
05/2000,14665.295797639883
06/2000,15006.644585341892
07/2000,14630.744158555683
08/2000,14449.095525397363
09/2000,13727.04228970289
10/2000,12846.105458155507
11/2000,12277.820580920508
12/2000,12838.13362399828
01/2001,13826.684295905105
02/2001,13207.656544566918
03/2001,12221.208807966676
04/2001,12526.972745043857
05/2001,12605.185048154177
06/2001,12372.037325882484
07/2001,11823.423398528252
08/2001,11908.251215368398
09/2001,10631.709181532542
10/2001,11119.899121864351
11/2001,11884.149155127065
12/2001,12464.385658141176
01/2002,12802.263322996305
02/2002,12940.492595208121
03/2002,13657.159405160328
04/2002,13734.085541465813
05/2002,13572.826813841384
06/2002,12888.10580613467
07/2002,12401.74834965765
08/2002,12635.02927630569
09/2002,11715.74506432497
10/2002,11955.305356832161
11/2002,12510.826829193406
12/2002,12476.32454174215
01/2003,12436.224262335352
02/2003,12177.59617018228
03/2003,12031.720142876151
04/2003,12904.971481060724
05/2003,13744.663903302735
06/2003,14484.71379737378
07/2003,15244.108891891063
08/2003,16109.983394229688
09/2003,16362.353132324195
10/2003,17644.35323467101
11/2003,17865.695502881066
12/2003,19179.976639340068
01/2004,19446.815120718064
02/2004,20227.17416868802
03/2004,20687.994370925317
04/2004,19580.063567605186
05/2004,19290.104148116305
06/2004,19609.510915287545
07/2004,19565.228402263914
08/2004,19935.07671917058
09/2004,21192.57451871412
10/2004,21822.18830790015
11/2004,24094.871912964278
12/2004,25435.5052401568
01/2005,25365.201710215235
02/2005,27190.04360997677
03/2005,25828.364600284527
04/2005,25604.4156815786
05/2005,26189.109981884616
06/2005,27143.0410564238
07/2005,28824.514451369916
08/2005,29315.33735556306
09/2005,31288.90939748432
10/2005,29566.388273102235
